DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
BAU;RIO000300-0; N;17/06/2026;01/07/2026;38171;            ;     ;METALCAVA FUNDICAO DE METAIS E;ALEXANDRE DE SOUZA DEZERO 15.3;C.;ALEXANDRE DE SOUZA DEZERO 15.3;PALMITAL;SP;SJR;486;145,92;10,2;0,0786;23,58;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;DK4000076-1;42260607655407002140570200000003011006322700 ;25,68;
BAU;RIO000427-8; N;26/06/2026;13/07/2026;3284;            ;     ;AGRO COMERCIAL AGROMANIA LTDA;AGRO COMERCIAL AGROMANIA LTDA;C.;IMPERIO MAGNA FORNECIMENTOS E ;BAURU;SP;SJR;656;395,76;265;0;265;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;DK4000076-1;42260607655407002140570200000004251006425299 ;69,65;
BAU;RIO000339-5; N;19/06/2026;03/07/2026;8337;1260665263;     ;ADRIEL SCHNEIDER SELVA 0900203;ADRIEL SCHNEIDER SELVA 0900203;C.;THALITA LOPES;PIRATININGA;SP;SJR;1.381,12;161,39;17;0,1825;54,75;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000003371006349644 ;28,4;
BAU;RIO000450-2; N;29/06/2026;14/07/2026;96145;2026143851;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;FOGACA REPRESENTACOES COMERCIA;BAURU;SP;SJR;2.434,19;347,9;92;0,7;210;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004481006446070 ;61,23;
BAU;RIO000452-9; N;29/06/2026;14/07/2026;96147;2026143217;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;PORTELAR COMERCIO DE MADEIRAS;PIRATININGA;SP;SJR;6.222,30;858,94;498;1,9237;577,11;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004491006446123 ;151,17;
BAU;RIO000459-6; N;30/06/2026;15/07/2026;1304;            ;     ;CRIATIVA ESQUADRIAS E ARTEFATO;CRIATIVA ESQUADRIAS E ARTEFATO;C.;ELISANGELA REIS TORRES REIS TO;MARILIA;SP;SJR;1.670,00;283,05;50;0,602;180,6;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004581006459917 ;49,82;
BAU;RIO000474-0; N;01/07/2026;16/07/2026;299670;            ;     ;ELBER IND DE REFRIGERACAO LTDA;CIR PAULISTA COM MAT MED HOSPI;..;CIR PAULISTA COM MAT MED HOSPI;MARILIA;SP;SJR;17.600,00;1.266,63;300;2,624;787,2;2;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260707655407002140570200000004721006473041 ;222,93;
BAU;RIO000475-8; N;01/07/2026;16/07/2026;96222;2026137821;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;MARCOS A DA SILVA ASSIS;ASSIS;SP;SJR;24.947,31;2.500,00;1280;5,7798;1733,94;0;1;50;FALTA DE MERCADORIA;08/07/2026;;SAO080565-3;42260707655407002140570200000004731006473057 ;440;
BAU;RIO000485-5; N;01/07/2026;16/07/2026;17791;46657;     ;BC AGRO COMERCIO LTDA;BC AGRO COMERCIO LTDA;..;DURATEX FLORESTAL LTDA;LENCOIS PAULISTA;SP;SJR;1.970,00;177,07;26;0,1437;43,11;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260707655407002140570200000004831006476842 ;31,16;
BIR;JPR011789-7; D;25/03/2026;07/04/2026;122023;            ;     ;ELISANGELA ALVES DOS SANTOS PE;COLOR VISAO DO BRASIL IND ACRI;B.;COLOR VISAO DO BRASIL IND ACRI;ARACATUBA;SP;CAM;795,89;136,3;12,94;0;12,94;1;1;51;SOBRA DE MERCADORIA;02/07/2026;;DK4000072-8;51260307655407000872570060000115941005390664 ;33,58;
CBA;CAM413999-2; N;30/06/2026;07/07/2026;9012;            ;     ;TEKFORT INDUSTRIA E COMERCIO D;ALINE PEREIRA DE AMEIDA;C3;ALINE PEREIRA DE AMEIDA;CUIABA;MT;3;4.140,00;433,04;336;0,4;336;0;1;4;DESTINATARIO RETIRA;09/07/2026;;CAM027226-4;35260607655407000520570030004522571006451316 ;0;
CBA;CAM414099-1; N;30/06/2026;09/07/2026;385375;            ;     ;T M D FRICTION DO BRASIL S.A;T M D FRICTION DO BRASIL S.A;A3;VEIPECAS VARZEA GRANDE COMERCI;VARZEA GRANDE;MT;VG1;9.835,89;156,78;113,9;0,3796;113,9;0;1;35;AGUARDANDO AGENDAMENTO DO CLIENTE;09/07/2026;;CAM027226-4;35260607655407000520570030004523231006455823 ;0;
CBA;CAM414112-1; N;30/06/2026;07/07/2026;385490;            ;     ;T M D FRICTION DO BRASIL S.A;T M D FRICTION DO BRASIL S.A;A3;ODAPEL-DISTRIBUIDORA DE AUTO P;CUIABA;MT;4;4.470,74;594,24;285,23;0,9507;285,23;0;1;50;FALTA DE MERCADORIA;08/07/2026;;CAM027226-4;35260607655407000520570030004523391006455980 ;0;
CBA;PSA115835-0; N;10/07/2026;20/07/2026;578688;            ;     ;FORCE LINE IND COM COMP ELETRO;FORCE LINE IND COM COMP ELETRO;B2;ANDREFISON MARLON SILVA LUZ;CUIABA;MT;780;221,61;85,84;5,816;0,0193;5,816;0;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;10/07/2026;;PSA000097-3;35260707655407000287570020021024011006583441 ;0;
CNP;PSA115836-8; N;10/07/2026;29/07/2026;578534;            ;     ;FORCE LINE IND COM COMP ELETRO;FORCE LINE IND COM COMP ELETRO;B2;ALVES COMERCIO DE MATERIAIS EL;COMODORO;MT;6;3.639,71;254,75;106,125;0,3533;106,125;0;17;83;CHEGADA NA UNIDADE INTERMEDIARIA ;10/07/2026;;PSA000097-3;35260707655407000287570020021024021006583457 ;76,43;
DEV;GYS014851-2; N;04/05/2026;31/12/2050;3420811;            ;TNL  ;EXPRESSO RIO VERMELHO TRANSP L;EXPRESSO RIO VERMELHO TRANSP L;..;EXPRESSO RIO VERMELHO;GUARULHOS;SP;1;1;0,01;1;0,1;30;0;1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;26/06/2026;;DK4000032-9; ;0;
FEC;CAM415678-1; N;10/07/2026;15/07/2026;105844;4505948745;     ;VIDARA DO BRASIL LTDA.;ACTIVE IND DE COSMETICOS SA;A1;LANGE COSMETICOS LTDA.;CESARIO LANGE;SP;CAM;60.000,00;10.469,69;12096;40;12096;0;12;80;CTRC EMITIDO;10/07/2026;;;35260707655407000520570030004539301006587300 ;0;
GVR;JAU112750-1; N;06/07/2026;15/07/2026;60882;            ;     ;HIDRODOMI DO BRASIL IND E COM;HIDRODOMI DO BRASIL IND E COM;B3;AGUAS DE GOVERNADOR VALADARES;GOVERNADOR VALADARES;MG;BHZ;2.357,78;220,95;159;0;159;0;3;51;SOBRA DE MERCADORIA;10/07/2026;;JAU000344-1;35260707655407000287570020020992711006523533 ;74,73;
IBI;CBA016998-6; N;07/05/2026;20/05/2026;1494;            ;     ;FONSECA E GOMES LTDA-EPP;PRIME FABRICACAO E COM DE ARTE;B.;PRIME FABRICACAO E COM DE ARTE;IBITINGA;SP;SJR;16.450,46;272,2;112;0;112;0;7;83;CHEGADA NA UNIDADE INTERMEDIARIA ;25/05/2026;;RAO001197-5;51260507655407000368570020000168941005855052 ;67,07;
IBI;PMW110372-5; N;17/03/2026;26/03/2026;1272;            ;     ;NILVA REGINA CELESTINO DE CAST;PRIME FABRICACAO E COM DE ARTE;B.;PRIME FABRICACAO E COM DE ARTE;IBITINGA;SP;SJR;6.235,00;179,4;50;0;50;0;5;83;CHEGADA NA UNIDADE INTERMEDIARIA ;25/05/2026;;RAO001197-5;52260307655407000449570040000933951005296054 ;44,2;
JAU;RIO000406-5; N;25/06/2026;10/07/2026;299412;            ;     ;ELBER IND DE REFRIGERACAO LTDA;RODOPEX AUTOMOTIVA LTDA;C.;RODOPEX AUTOMOTIVA LTDA;TORRINHA;SP;BAU;15.019,29;700;202,5;1,4629;438,87;6;6;83;CHEGADA NA UNIDADE INTERMEDIARIA ;08/07/2026;;DK4000078-7;42260607655407002140570200000004041006415528 ;129,36;
NVM;PSA116597-6; N;10/07/2026;22/07/2026;3575511;800821558;     ;GRUPO MULTI S A;GRUPO MULTI S A;A1;ARCO IRIS COM DE BRINQUEDOS E ;NOVA MUTUM;MT;784;2.331,59;151,66;19,473;0,2444;61,1;0;4;83;CHEGADA NA UNIDADE INTERMEDIARIA ;11/07/2026;;PSA000098-1;35260707655407000287570020021029681006594253 ;27,59;
NVV;CBA017323-1; N;10/07/2026;21/07/2026;405054;            ;     ;SESI SERVICO SOCIAL DA INDUSTR;GRUPO MULTI S A;A1;GRUPO MULTI S A;EXTREMA;MG;SAO;3.477,97;84,56;3,1;0;3,1;0;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;10/07/2026;;CBA006494-7;51260707655407000368570020000172131006586153 ;0;
