PLACA;TIPO BAIXA;DATA BAIXA;CTRC;NF;CNPJ REMETENTE;NOME REMETENTE;CIDADE REMETENTE;CNPJ EXPEDIDOR;NOME EXPEDIDOR;CNPJ DESTINATARIO;NOME DESTINATARIO;CNPJ RECEBEDOR;NOME RECEBEDOR;CIDADE ENTREGA;CNPJ PAGADOR;NOME PAGADOR;OCORRENCIA DE BAIXA DE ENTREGA;DATA DA OCORRENCIA DE BAIXA DE ENTREGA;VLR CTRC ORIGEM;SET;PESO CALCULO;QTVOL;VAL MERC;ICMS;VLR FRETE;BASE CALC;ROMANEIO;CTRB/OS;
AQF8I01;E;01/05/26;SPT/452595-7;  2294054;50949528001232 ;ASTRA S/A IND E COM ;JUNDIAI/SP          ;50949528001232 ;ASTRA S/A IND E COM ;13501187000159 ;CASAS DA AGUA MAT CO;13501187000159 ;CASAS DA AGUA MAT CO;SAO JOSE;50949528001232 ;ASTRA S/A IND E COM ;ENTREGA REALIZADA;04/05/26;          0,00;S06;    2.865,00;        1;   59.351,47;000184,01;   1.533,41;   1.533,41; 36407-0;
AQF8I01;E;01/05/26;SPT/452616-3;  2293350;50949528001232 ;ASTRA S/A IND E COM ;JUNDIAI/SP          ;50949528001232 ;ASTRA S/A IND E COM ;13501187000159 ;CASAS DA AGUA MAT CO;13501187000159 ;CASAS DA AGUA MAT CO;SAO JOSE;50949528001232 ;ASTRA S/A IND E COM ;ENTREGA REALIZADA;04/05/26;          0,00;S06;    2.961,00;        5;   59.184,00;000184,25;   1.535,42;   1.535,42; 36407-0;
AQF8I01;C;04/05/26;FLN/614440-3;      821;58003024000184 ;RESIMETAL BANHO ACES;PALHOCA/SC          ;58003024000184 ;RESIMETAL BANHO ACES;62978978000503 ;CASA MIMOSA HIDRAULI;62978978000503 ;CASA MIMOSA HIDRAULI;SAO PAULO;58003024000184 ;RESIMETAL BANHO ACES;ENTREGA REALIZADA;07/05/26;          0,00;S04;       43,90;        1;    4.515,03;000011,51;      95,89;      95,89;     0-0;
AQF8I01;C;04/05/26;FLN/614470-5;  1237752;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;82624545000133 ;COMERCIAL TOMIO LTDA;82624545000133 ;COMERCIAL TOMIO LTDA;BLUMENAU;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;06/05/26;          0,00;S04;       49,00;        4;    2.200,00;000012,05;      70,86;      70,86;     0-0;
AQF8I01;C;04/05/26;FLN/614471-3;  1237758;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;02494380000193 ;VENEZA MAGAZINE LTDA;02494380000193 ;VENEZA MAGAZINE LTDA;NOVA VENEZA;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;07/05/26;          0,00;S04;       22,60;        2;      722,68;000009,42;      55,43;      55,43;     0-0;
AQF8I01;C;04/05/26;FLN/614472-1;  1237762;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;83122291000380 ;MERCADO BERTINA LTDA;83122291000380 ;MERCADO BERTINA LTDA;CORUPA;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;08/05/26;          0,00;S04;       82,40;        4;    1.972,90;000016,54;      97,31;      97,31;     0-0;
AQF8I01;C;04/05/26;FLN/614473-0;  1237763;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;12072660000167 ;FANTASTICO COMERCIO ;12072660000167 ;FANTASTICO COMERCIO ;XAXIM;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;07/05/26;          0,00;S04;       44,00;        2;    1.222,57;000011,43;      67,23;      67,23;     0-0;
AQF8I01;C;04/05/26;FLN/614474-8;  1238033;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;10381875000134 ;FRITZ DISTRIBUIDORA ;10381875000134 ;FRITZ DISTRIBUIDORA ;INDAIAL;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;08/05/26;          0,00;S04;      606,00;       50;   18.970,44;000086,17;     506,89;     506,89;     0-0;
AQF8I01;C;04/05/26;FLN/614475-6;  1238178;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;01763720000171 ;(L)EDIFICIO HEAD OFF;12278797000253 ;EDIFICIO HEAD OFFICE;SAO PAULO;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;07/05/26;          0,00;S04;       49,00;        1;    1.720,30;000012,73;     106,11;     106,11;     0-0;
AQF8I01;C;04/05/26;FLN/614476-4;  1238034;01763720000171 ;VENTISOL IND. COM. L;PALHOCA/SC          ;01763720000171 ;VENTISOL IND. COM. L;13700407000173 ;RADINOR COAN E CIA L;13700407000173 ;RADINOR COAN E CIA L;BRACO DO NORTE;01763720000171 ;VENTISOL IND. COM. L;ENTREGA REALIZADA;05/05/26;          0,00;S04;      162,00;       12;    5.306,48;000026,06;     153,31;     153,31;     0-0;
